nfhs4_statecode,nfhs4_state,SL_NO,ITEM_CATEGORY,region,measure,mpce
BR,Bihar,24,minor durable-type goods,Urban,MMRP,7.97
CT,Chhattisgarh,24,minor durable-type goods,Urban,MMRP,6.64
DL,NCT of Delhi,24,minor durable-type goods,Urban,MMRP,9.2
AP,Andhra Pradesh,25,toilet articles,Urban,MMRP,63.04
AR,Arunachal Pradesh,25,toilet articles,Urban,MMRP,72.39
AS,Assam,25,toilet articles,Urban,MMRP,46.05
BR,Bihar,25,toilet articles,Urban,MMRP,29.21
CT,Chhattisgarh,25,toilet articles,Urban,MMRP,49.68
DL,NCT of Delhi,25,toilet articles,Urban,MMRP,69.51
AP,Andhra Pradesh,26,other household consumables,Urban,MMRP,50.64
AR,Arunachal Pradesh,26,other household consumables,Urban,MMRP,37.63
AS,Assam,26,other household consumables,Urban,MMRP,30.2
BR,Bihar,26,other household consumables,Urban,MMRP,24.99
CT,Chhattisgarh,26,other household consumables,Urban,MMRP,39.31
DL,NCT of Delhi,26,other household consumables,Urban,MMRP,56.27
AP,Andhra Pradesh,27,consum. services excl. conveyance,Urban,MMRP,136.41
AR,Arunachal Pradesh,27,consum. services excl. conveyance,Urban,MMRP,144.91
AS,Assam,27,consum. services excl. conveyance,Urban,MMRP,127.1
BR,Bihar,27,consum. services excl. conveyance,Urban,MMRP,67.8
CT,Chhattisgarh,27,consum. services excl. conveyance,Urban,MMRP,93.32
DL,NCT of Delhi,27,consum. services excl. conveyance,Urban,MMRP,251.78
AP,Andhra Pradesh,28,conveyance,Urban,MMRP,164.42
AR,Arunachal Pradesh,28,conveyance,Urban,MMRP,120.88
AS,Assam,28,conveyance,Urban,MMRP,121
BR,Bihar,28,conveyance,Urban,MMRP,51.64
CT,Chhattisgarh,28,conveyance,Urban,MMRP,106.32
DL,NCT of Delhi,28,conveyance,Urban,MMRP,279.22
AP,Andhra Pradesh,29,rent,Urban,MMRP,243.4
AR,Arunachal Pradesh,29,rent,Urban,MMRP,79.21
AS,Assam,29,rent,Urban,MMRP,111.26
BR,Bihar,29,rent,Urban,MMRP,59.62
CT,Chhattisgarh,29,rent,Urban,MMRP,58.39
DL,NCT of Delhi,29,rent,Urban,MMRP,184.7
AP,Andhra Pradesh,30,taxes & cesses,Urban,MMRP,21.39
AR,Arunachal Pradesh,30,taxes & cesses,Urban,MMRP,13.03
AS,Assam,30,taxes & cesses,Urban,MMRP,9.45
BR,Bihar,30,taxes & cesses,Urban,MMRP,1.66
CT,Chhattisgarh,30,taxes & cesses,Urban,MMRP,16.9
DL,NCT of Delhi,30,taxes & cesses,Urban,MMRP,53.08
AP,Andhra Pradesh,31,durable goods,Urban,MMRP,104.53
AR,Arunachal Pradesh,31,durable goods,Urban,MMRP,216.13
AS,Assam,31,durable goods,Urban,MMRP,87.7
BR,Bihar,31,durable goods,Urban,MMRP,50.66
CT,Chhattisgarh,31,durable goods,Urban,MMRP,121.3
DL,NCT of Delhi,31,durable goods,Urban,MMRP,103.45
AP,Andhra Pradesh,32,non-food: total (16-31),Urban,MMRP,1549.43
AR,Arunachal Pradesh,32,non-food: total (16-31),Urban,MMRP,1515.99
AS,Assam,32,non-food: total (16-31),Urban,MMRP,1145.55
BR,Bihar,32,non-food: total (16-31),Urban,MMRP,745.47
CT,Chhattisgarh,32,non-food: total (16-31),Urban,MMRP,1079.95
DL,NCT of Delhi,32,non-food: total (16-31),Urban,MMRP,1951.53
AP,Andhra Pradesh,33,total expenditure (15+32),Urban,MMRP,2685.09
AR,Arunachal Pradesh,33,total expenditure (15+32),Urban,MMRP,2654.17
AS,Assam,33,total expenditure (15+32),Urban,MMRP,2189.15
BR,Bihar,33,total expenditure (15+32),Urban,MMRP,1506.58
CT,Chhattisgarh,33,total expenditure (15+32),Urban,MMRP,1867.86
DL,NCT of Delhi,33,total expenditure (15+32),Urban,MMRP,3298.47
AP,Andhra Pradesh,34,cooked meals recd. free in workpl.*,Urban,MMRP,2.7
AR,Arunachal Pradesh,34,cooked meals recd. free in workpl.*,Urban,MMRP,3.11
AS,Assam,34,cooked meals recd. free in workpl.*,Urban,MMRP,2.54
BR,Bihar,34,cooked meals recd. free in workpl.*,Urban,MMRP,1.01
CT,Chhattisgarh,34,cooked meals recd. free in workpl.*,Urban,MMRP,4.05
DL,NCT of Delhi,34,cooked meals recd. free in workpl.*,Urban,MMRP,7.3
AP,Andhra Pradesh,35,cooked meals recd. as assistance *,Urban,MMRP,12.02
AR,Arunachal Pradesh,35,cooked meals recd. as assistance *,Urban,MMRP,2.7
AS,Assam,35,cooked meals recd. as assistance *,Urban,MMRP,5.39
BR,Bihar,35,cooked meals recd. as assistance *,Urban,MMRP,8.8
CT,Chhattisgarh,35,cooked meals recd. as assistance *,Urban,MMRP,21.38
DL,NCT of Delhi,35,cooked meals recd. as assistance *,Urban,MMRP,5.69
AP,Andhra Pradesh,36,clothing & footwear (2nd hand) **,Urban,MMRP,0.12
AR,Arunachal Pradesh,36,clothing & footwear (2nd hand) **,Urban,MMRP,4.04
AS,Assam,36,clothing & footwear (2nd hand) **,Urban,MMRP,0.28
BR,Bihar,36,clothing & footwear (2nd hand) **,Urban,MMRP,0.22
CT,Chhattisgarh,36,clothing & footwear (2nd hand) **,Urban,MMRP,0.13
DL,NCT of Delhi,36,clothing & footwear (2nd hand) **,Urban,MMRP,2.52
AP,Andhra Pradesh,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,0.55
AR,Arunachal Pradesh,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,0.11
AS,Assam,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,0.87
BR,Bihar,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,1.11
CT,Chhattisgarh,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,1.34
DL,NCT of Delhi,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,1.14
AP,Andhra Pradesh,38,durables (2nd hand) $,Urban,MMRP,3.6
AR,Arunachal Pradesh,38,durables (2nd hand) $,Urban,MMRP,4.01
AS,Assam,38,durables (2nd hand) $,Urban,MMRP,1.14
BR,Bihar,38,durables (2nd hand) $,Urban,MMRP,0.27
CT,Chhattisgarh,38,durables (2nd hand) $,Urban,MMRP,4.13
DL,NCT of Delhi,38,durables (2nd hand) $,Urban,MMRP,0.3
GA,Goa,1,cereal,Urban,MMRP,191.27
GJ,Gujarat,1,cereal,Urban,MMRP,153.12
HR,Haryana,1,cereal,Urban,MMRP,141.04
HP,Himachal Pradesh,1,cereal,Urban,MMRP,188.28
JK,Jammu & Kashmir,1,cereal,Urban,MMRP,211.98
JH,Jharkhand,1,cereal,Urban,MMRP,210.54
GA,Goa,2,gram,Urban,MMRP,5.87
GJ,Gujarat,2,gram,Urban,MMRP,2.75
HR,Haryana,2,gram,Urban,MMRP,5.82
HP,Himachal Pradesh,2,gram,Urban,MMRP,8.57
JK,Jammu & Kashmir,2,gram,Urban,MMRP,3.19
JH,Jharkhand,2,gram,Urban,MMRP,6.69
GA,Goa,3,cereal substitutes,Urban,MMRP,0
GJ,Gujarat,3,cereal substitutes,Urban,MMRP,0.76
HR,Haryana,3,cereal substitutes,Urban,MMRP,0
HP,Himachal Pradesh,3,cereal substitutes,Urban,MMRP,0.25
JK,Jammu & Kashmir,3,cereal substitutes,Urban,MMRP,0
JH,Jharkhand,3,cereal substitutes,Urban,MMRP,0
GA,Goa,4,pulses and pulse products,Urban,MMRP,39.77
GJ,Gujarat,4,pulses and pulse products,Urban,MMRP,53.45
HR,Haryana,4,pulses and pulse products,Urban,MMRP,48.87
HP,Himachal Pradesh,4,pulses and pulse products,Urban,MMRP,69.21
JK,Jammu & Kashmir,4,pulses and pulse products,Urban,MMRP,40.04
JH,Jharkhand,4,pulses and pulse products,Urban,MMRP,39.6
GA,Goa,5,milk and milk products,Urban,MMRP,224.89
GJ,Gujarat,5,milk and milk products,Urban,MMRP,267.03
HR,Haryana,5,milk and milk products,Urban,MMRP,452.05
HP,Himachal Pradesh,5,milk and milk products,Urban,MMRP,284.22
JK,Jammu & Kashmir,5,milk and milk products,Urban,MMRP,242.71
JH,Jharkhand,5,milk and milk products,Urban,MMRP,115.46
GA,Goa,6,sugar,Urban,MMRP,28.47
GJ,Gujarat,6,sugar,Urban,MMRP,34.92
HR,Haryana,6,sugar,Urban,MMRP,46.13
HP,Himachal Pradesh,6,sugar,Urban,MMRP,32.05
JK,Jammu & Kashmir,6,sugar,Urban,MMRP,15.96
JH,Jharkhand,6,sugar,Urban,MMRP,20.48
GA,Goa,7,salt,Urban,MMRP,2.9
GJ,Gujarat,7,salt,Urban,MMRP,2.17
HR,Haryana,7,salt,Urban,MMRP,3.09
HP,Himachal Pradesh,7,salt,Urban,MMRP,1.92
JK,Jammu & Kashmir,7,salt,Urban,MMRP,4.02
JH,Jharkhand,7,salt,Urban,MMRP,3.08
GA,Goa,8,edible oil,Urban,MMRP,64.77
GJ,Gujarat,8,edible oil,Urban,MMRP,106.74
HR,Haryana,8,edible oil,Urban,MMRP,62.66
HP,Himachal Pradesh,8,edible oil,Urban,MMRP,60.34
JK,Jammu & Kashmir,8,edible oil,Urban,MMRP,91.74
JH,Jharkhand,8,edible oil,Urban,MMRP,59.57
GA,Goa,9,"egg, fish & meat",Urban,MMRP,328.95
GJ,Gujarat,9,"egg, fish & meat",Urban,MMRP,29.59
HR,Haryana,9,"egg, fish & meat",Urban,MMRP,20.58
HP,Himachal Pradesh,9,"egg, fish & meat",Urban,MMRP,66.34
JK,Jammu & Kashmir,9,"egg, fish & meat",Urban,MMRP,128.63
JH,Jharkhand,9,"egg, fish & meat",Urban,MMRP,81.34
GA,Goa,10,vegetables,Urban,MMRP,99.65
GJ,Gujarat,10,vegetables,Urban,MMRP,155.55
HR,Haryana,10,vegetables,Urban,MMRP,153.33
HP,Himachal Pradesh,10,vegetables,Urban,MMRP,146.36
JK,Jammu & Kashmir,10,vegetables,Urban,MMRP,136.83
JH,Jharkhand,10,vegetables,Urban,MMRP,126.72
GA,Goa,11,fruits (fresh),Urban,MMRP,154.57
GJ,Gujarat,11,fruits (fresh),Urban,MMRP,63.81
HR,Haryana,11,fruits (fresh),Urban,MMRP,115.98
HP,Himachal Pradesh,11,fruits (fresh),Urban,MMRP,89.11
JK,Jammu & Kashmir,11,fruits (fresh),Urban,MMRP,62.42
JH,Jharkhand,11,fruits (fresh),Urban,MMRP,47.86
GA,Goa,12,fruits (dry),Urban,MMRP,16.87
GJ,Gujarat,12,fruits (dry),Urban,MMRP,25.98
HR,Haryana,12,fruits (dry),Urban,MMRP,28.86
HP,Himachal Pradesh,12,fruits (dry),Urban,MMRP,39
JK,Jammu & Kashmir,12,fruits (dry),Urban,MMRP,12.07
JH,Jharkhand,12,fruits (dry),Urban,MMRP,10.52
GA,Goa,13,spices,Urban,MMRP,81.46
GJ,Gujarat,13,spices,Urban,MMRP,72.73
HR,Haryana,13,spices,Urban,MMRP,62.62
HP,Himachal Pradesh,13,spices,Urban,MMRP,66.29
JK,Jammu & Kashmir,13,spices,Urban,MMRP,66.48
JH,Jharkhand,13,spices,Urban,MMRP,44.55
GA,Goa,14,"beverages, refreshments, etc.",Urban,MMRP,207.57
GJ,Gujarat,14,"beverages, refreshments, etc.",Urban,MMRP,198.58
HR,Haryana,14,"beverages, refreshments, etc.",Urban,MMRP,353.68
HP,Himachal Pradesh,14,"beverages, refreshments, etc.",Urban,MMRP,330.28
JK,Jammu & Kashmir,14,"beverages, refreshments, etc.",Urban,MMRP,172.4
JH,Jharkhand,14,"beverages, refreshments, etc.",Urban,MMRP,172.84
GA,Goa,15,food: total (1-14),Urban,MMRP,1447.01
GJ,Gujarat,15,food: total (1-14),Urban,MMRP,1167.17
HR,Haryana,15,food: total (1-14),Urban,MMRP,1494.72
HP,Himachal Pradesh,15,food: total (1-14),Urban,MMRP,1382.21
JK,Jammu & Kashmir,15,food: total (1-14),Urban,MMRP,1188.48
JH,Jharkhand,15,food: total (1-14),Urban,MMRP,939.26
GA,Goa,16,"pan, tobacco & intoxicants",Urban,MMRP,16.93
GJ,Gujarat,16,"pan, tobacco & intoxicants",Urban,MMRP,43.61
HR,Haryana,16,"pan, tobacco & intoxicants",Urban,MMRP,38.65
HP,Himachal Pradesh,16,"pan, tobacco & intoxicants",Urban,MMRP,73.3
JK,Jammu & Kashmir,16,"pan, tobacco & intoxicants",Urban,MMRP,31.08
JH,Jharkhand,16,"pan, tobacco & intoxicants",Urban,MMRP,33.07
GA,Goa,17,fuel and light,Urban,MMRP,177.98
GJ,Gujarat,17,fuel and light,Urban,MMRP,195.54
HR,Haryana,17,fuel and light,Urban,MMRP,238.91
HP,Himachal Pradesh,17,fuel and light,Urban,MMRP,162.65
JK,Jammu & Kashmir,17,fuel and light,Urban,MMRP,146.16
JH,Jharkhand,17,fuel and light,Urban,MMRP,139.57
GA,Goa,18,clothing & bedding,Urban,MMRP,147.11
GJ,Gujarat,18,clothing & bedding,Urban,MMRP,130.91
HR,Haryana,18,clothing & bedding,Urban,MMRP,210
HP,Himachal Pradesh,18,clothing & bedding,Urban,MMRP,232.95
JK,Jammu & Kashmir,18,clothing & bedding,Urban,MMRP,144.19
JH,Jharkhand,18,clothing & bedding,Urban,MMRP,141.03
GA,Goa,19,footwear,Urban,MMRP,32.4
GJ,Gujarat,19,footwear,Urban,MMRP,24.97
HR,Haryana,19,footwear,Urban,MMRP,49.9
HP,Himachal Pradesh,19,footwear,Urban,MMRP,63.97
JK,Jammu & Kashmir,19,footwear,Urban,MMRP,36
JH,Jharkhand,19,footwear,Urban,MMRP,21
GA,Goa,20,education,Urban,MMRP,77.15
GJ,Gujarat,20,education,Urban,MMRP,136.58
HR,Haryana,20,education,Urban,MMRP,336.14
HP,Himachal Pradesh,20,education,Urban,MMRP,256.83
JK,Jammu & Kashmir,20,education,Urban,MMRP,194.53
JH,Jharkhand,20,education,Urban,MMRP,136.69
GA,Goa,21,medical (institutional),Urban,MMRP,48.11
GJ,Gujarat,21,medical (institutional),Urban,MMRP,50.84
HR,Haryana,21,medical (institutional),Urban,MMRP,44.58
HP,Himachal Pradesh,21,medical (institutional),Urban,MMRP,24.12
JK,Jammu & Kashmir,21,medical (institutional),Urban,MMRP,30.67
JH,Jharkhand,21,medical (institutional),Urban,MMRP,47.67
GA,Goa,22,medical (non-institutional),Urban,MMRP,93.6
GJ,Gujarat,22,medical (non-institutional),Urban,MMRP,69.41
HR,Haryana,22,medical (non-institutional),Urban,MMRP,104.81
HP,Himachal Pradesh,22,medical (non-institutional),Urban,MMRP,110.65
JK,Jammu & Kashmir,22,medical (non-institutional),Urban,MMRP,85.41
JH,Jharkhand,22,medical (non-institutional),Urban,MMRP,60.63
GA,Goa,23,entertainment,Urban,MMRP,72.34
GJ,Gujarat,23,entertainment,Urban,MMRP,48.89
HR,Haryana,23,entertainment,Urban,MMRP,62.71
HP,Himachal Pradesh,23,entertainment,Urban,MMRP,46.54
JK,Jammu & Kashmir,23,entertainment,Urban,MMRP,35.07
JH,Jharkhand,23,entertainment,Urban,MMRP,36.74
GA,Goa,24,minor durable-type goods,Urban,MMRP,26.96
GJ,Gujarat,24,minor durable-type goods,Urban,MMRP,10.79
HR,Haryana,24,minor durable-type goods,Urban,MMRP,9.18
HP,Himachal Pradesh,24,minor durable-type goods,Urban,MMRP,5.28
JK,Jammu & Kashmir,24,minor durable-type goods,Urban,MMRP,7.33
JH,Jharkhand,24,minor durable-type goods,Urban,MMRP,16.43
GA,Goa,25,toilet articles,Urban,MMRP,78.03
GJ,Gujarat,25,toilet articles,Urban,MMRP,51.93
HR,Haryana,25,toilet articles,Urban,MMRP,68.9
HP,Himachal Pradesh,25,toilet articles,Urban,MMRP,58.08
JK,Jammu & Kashmir,25,toilet articles,Urban,MMRP,43.71
JH,Jharkhand,25,toilet articles,Urban,MMRP,49.66
GA,Goa,26,other household consumables,Urban,MMRP,46.53
GJ,Gujarat,26,other household consumables,Urban,MMRP,43.47
HR,Haryana,26,other household consumables,Urban,MMRP,61.15
HP,Himachal Pradesh,26,other household consumables,Urban,MMRP,45.69
JK,Jammu & Kashmir,26,other household consumables,Urban,MMRP,38.07
JH,Jharkhand,26,other household consumables,Urban,MMRP,37.62
GA,Goa,27,consum. services excl. conveyance,Urban,MMRP,188.34
GJ,Gujarat,27,consum. services excl. conveyance,Urban,MMRP,136.5
HR,Haryana,27,consum. services excl. conveyance,Urban,MMRP,218.59
HP,Himachal Pradesh,27,consum. services excl. conveyance,Urban,MMRP,175.01
JK,Jammu & Kashmir,27,consum. services excl. conveyance,Urban,MMRP,116.3
JH,Jharkhand,27,consum. services excl. conveyance,Urban,MMRP,94.06
GA,Goa,28,conveyance,Urban,MMRP,286.4
GJ,Gujarat,28,conveyance,Urban,MMRP,170.86
HR,Haryana,28,conveyance,Urban,MMRP,284.91
HP,Himachal Pradesh,28,conveyance,Urban,MMRP,177.6
JK,Jammu & Kashmir,28,conveyance,Urban,MMRP,194.51
JH,Jharkhand,28,conveyance,Urban,MMRP,107.15
GA,Goa,29,rent,Urban,MMRP,140.89
GJ,Gujarat,29,rent,Urban,MMRP,98.99
HR,Haryana,29,rent,Urban,MMRP,346.4
HP,Himachal Pradesh,29,rent,Urban,MMRP,271.87
JK,Jammu & Kashmir,29,rent,Urban,MMRP,49.22
JH,Jharkhand,29,rent,Urban,MMRP,99.5
GA,Goa,30,taxes & cesses,Urban,MMRP,38.13
GJ,Gujarat,30,taxes & cesses,Urban,MMRP,17.64
HR,Haryana,30,taxes & cesses,Urban,MMRP,17.44
HP,Himachal Pradesh,30,taxes & cesses,Urban,MMRP,17.51
JK,Jammu & Kashmir,30,taxes & cesses,Urban,MMRP,8.36
JH,Jharkhand,30,taxes & cesses,Urban,MMRP,4.16
GA,Goa,31,durable goods,Urban,MMRP,133.31
GJ,Gujarat,31,durable goods,Urban,MMRP,183.21
HR,Haryana,31,durable goods,Urban,MMRP,230.37
HP,Himachal Pradesh,31,durable goods,Urban,MMRP,154.31
JK,Jammu & Kashmir,31,durable goods,Urban,MMRP,136.25
JH,Jharkhand,31,durable goods,Urban,MMRP,54.03
GA,Goa,32,non-food: total (16-31),Urban,MMRP,1604.22
GJ,Gujarat,32,non-food: total (16-31),Urban,MMRP,1414.12
HR,Haryana,32,non-food: total (16-31),Urban,MMRP,2322.62
HP,Himachal Pradesh,32,non-food: total (16-31),Urban,MMRP,1876.35
JK,Jammu & Kashmir,32,non-food: total (16-31),Urban,MMRP,1296.88
JH,Jharkhand,32,non-food: total (16-31),Urban,MMRP,1079.03
GA,Goa,33,total expenditure (15+32),Urban,MMRP,3051.19
GJ,Gujarat,33,total expenditure (15+32),Urban,MMRP,2581.28
HR,Haryana,33,total expenditure (15+32),Urban,MMRP,3817.33
HP,Himachal Pradesh,33,total expenditure (15+32),Urban,MMRP,3258.54
JK,Jammu & Kashmir,33,total expenditure (15+32),Urban,MMRP,2485.34
JH,Jharkhand,33,total expenditure (15+32),Urban,MMRP,2018.29
GA,Goa,34,cooked meals recd. free in workpl.*,Urban,MMRP,14.32
GJ,Gujarat,34,cooked meals recd. free in workpl.*,Urban,MMRP,2.92
HR,Haryana,34,cooked meals recd. free in workpl.*,Urban,MMRP,15.98
HP,Himachal Pradesh,34,cooked meals recd. free in workpl.*,Urban,MMRP,52.48
JK,Jammu & Kashmir,34,cooked meals recd. free in workpl.*,Urban,MMRP,1.91
JH,Jharkhand,34,cooked meals recd. free in workpl.*,Urban,MMRP,2.9
GA,Goa,35,cooked meals recd. as assistance *,Urban,MMRP,7.5
GJ,Gujarat,35,cooked meals recd. as assistance *,Urban,MMRP,2.88
HR,Haryana,35,cooked meals recd. as assistance *,Urban,MMRP,3.71
HP,Himachal Pradesh,35,cooked meals recd. as assistance *,Urban,MMRP,3.96
JK,Jammu & Kashmir,35,cooked meals recd. as assistance *,Urban,MMRP,5.8
JH,Jharkhand,35,cooked meals recd. as assistance *,Urban,MMRP,7.29
GA,Goa,36,clothing & footwear (2nd hand) **,Urban,MMRP,0.48
GJ,Gujarat,36,clothing & footwear (2nd hand) **,Urban,MMRP,1.52
HR,Haryana,36,clothing & footwear (2nd hand) **,Urban,MMRP,0.25
HP,Himachal Pradesh,36,clothing & footwear (2nd hand) **,Urban,MMRP,0.38
JK,Jammu & Kashmir,36,clothing & footwear (2nd hand) **,Urban,MMRP,1.71
JH,Jharkhand,36,clothing & footwear (2nd hand) **,Urban,MMRP,0.19
GA,Goa,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,0.82
GJ,Gujarat,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,0.6
HR,Haryana,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,1.21
HP,Himachal Pradesh,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,0.19
JK,Jammu & Kashmir,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,0.75
JH,Jharkhand,37,"books, journals, etc. (2nd hand) @",Urban,MMRP,1.47
GA,Goa,38,durables (2nd hand) $,Urban,MMRP,1.02
GJ,Gujarat,38,durables (2nd hand) $,Urban,MMRP,3.77
HR,Haryana,38,durables (2nd hand) $,Urban,MMRP,3.8
HP,Himachal Pradesh,38,durables (2nd hand) $,Urban,MMRP,2.69
JK,Jammu & Kashmir,38,durables (2nd hand) $,Urban,MMRP,14.12
JH,Jharkhand,38,durables (2nd hand) $,Urban,MMRP,0.11
KA,Karnataka,1,cereal,Urban,MMRP,185.45
KL,Kerala,1,cereal,Urban,MMRP,155.6
MP,Madhya Pradesh,1,cereal,Urban,MMRP,141.44
MH,Maharashtra,1,cereal,Urban,MMRP,184.27
MN,Manipur,1,cereal,Urban,MMRP,269.96
ML,Meghalaya,1,cereal,Urban,MMRP,205.32
KA,Karnataka,2,gram,Urban,MMRP,3.36
KL,Kerala,2,gram,Urban,MMRP,8.06
MP,Madhya Pradesh,2,gram,Urban,MMRP,0.66
MH,Maharashtra,2,gram,Urban,MMRP,1.9
MN,Manipur,2,gram,Urban,MMRP,0.98
ML,Meghalaya,2,gram,Urban,MMRP,0.31
KA,Karnataka,3,cereal substitutes,Urban,MMRP,0.06
KL,Kerala,3,cereal substitutes,Urban,MMRP,5.02
MP,Madhya Pradesh,3,cereal substitutes,Urban,MMRP,2.26
MH,Maharashtra,3,cereal substitutes,Urban,MMRP,5.6
MN,Manipur,3,cereal substitutes,Urban,MMRP,0.31
ML,Meghalaya,3,cereal substitutes,Urban,MMRP,0.49
KA,Karnataka,4,pulses and pulse products,Urban,MMRP,59.13
KL,Kerala,4,pulses and pulse products,Urban,MMRP,39.69
MP,Madhya Pradesh,4,pulses and pulse products,Urban,MMRP,52.4
MH,Maharashtra,4,pulses and pulse products,Urban,MMRP,62.61
MN,Manipur,4,pulses and pulse products,Urban,MMRP,20.22
ML,Meghalaya,4,pulses and pulse products,Urban,MMRP,28.89
KA,Karnataka,5,milk and milk products,Urban,MMRP,132.37
KL,Kerala,5,milk and milk products,Urban,MMRP,112.98
MP,Madhya Pradesh,5,milk and milk products,Urban,MMRP,167.14
MH,Maharashtra,5,milk and milk products,Urban,MMRP,182.18
MN,Manipur,5,milk and milk products,Urban,MMRP,30.2
ML,Meghalaya,5,milk and milk products,Urban,MMRP,74.39
KA,Karnataka,6,sugar,Urban,MMRP,24.07
KL,Kerala,6,sugar,Urban,MMRP,26.17
MP,Madhya Pradesh,6,sugar,Urban,MMRP,30.49
MH,Maharashtra,6,sugar,Urban,MMRP,31.95
MN,Manipur,6,sugar,Urban,MMRP,8.09
ML,Meghalaya,6,sugar,Urban,MMRP,17.22
KA,Karnataka,7,salt,Urban,MMRP,2.68
KL,Kerala,7,salt,Urban,MMRP,2.29
MP,Madhya Pradesh,7,salt,Urban,MMRP,2.59
MH,Maharashtra,7,salt,Urban,MMRP,2.82
MN,Manipur,7,salt,Urban,MMRP,3.21
ML,Meghalaya,7,salt,Urban,MMRP,2.75
KA,Karnataka,8,edible oil,Urban,MMRP,66.02
KL,Kerala,8,edible oil,Urban,MMRP,55.36
MP,Madhya Pradesh,8,edible oil,Urban,MMRP,63.02
MH,Maharashtra,8,edible oil,Urban,MMRP,87.45
MN,Manipur,8,edible oil,Urban,MMRP,40.1
ML,Meghalaya,8,edible oil,Urban,MMRP,45.19
KA,Karnataka,9,"egg, fish & meat",Urban,MMRP,110.17
KL,Kerala,9,"egg, fish & meat",Urban,MMRP,235.29
MP,Madhya Pradesh,9,"egg, fish & meat",Urban,MMRP,40.3
MH,Maharashtra,9,"egg, fish & meat",Urban,MMRP,106.35
MN,Manipur,9,"egg, fish & meat",Urban,MMRP,144.38
ML,Meghalaya,9,"egg, fish & meat",Urban,MMRP,214.79
KA,Karnataka,10,vegetables,Urban,MMRP,102.13
KL,Kerala,10,vegetables,Urban,MMRP,102.52
MP,Madhya Pradesh,10,vegetables,Urban,MMRP,91.63
MH,Maharashtra,10,vegetables,Urban,MMRP,136.77
MN,Manipur,10,vegetables,Urban,MMRP,104.3
ML,Meghalaya,10,vegetables,Urban,MMRP,138.01
KA,Karnataka,11,fruits (fresh),Urban,MMRP,98.28
KL,Kerala,11,fruits (fresh),Urban,MMRP,134.01
MP,Madhya Pradesh,11,fruits (fresh),Urban,MMRP,43.88
MH,Maharashtra,11,fruits (fresh),Urban,MMRP,88.34
MN,Manipur,11,fruits (fresh),Urban,MMRP,17.98
ML,Meghalaya,11,fruits (fresh),Urban,MMRP,53.26
KA,Karnataka,12,fruits (dry),Urban,MMRP,26.2
KL,Kerala,12,fruits (dry),Urban,MMRP,13.55
MP,Madhya Pradesh,12,fruits (dry),Urban,MMRP,14.51
MH,Maharashtra,12,fruits (dry),Urban,MMRP,46.85
MN,Manipur,12,fruits (dry),Urban,MMRP,3.22
ML,Meghalaya,12,fruits (dry),Urban,MMRP,3.48
KA,Karnataka,13,spices,Urban,MMRP,73.1
KL,Kerala,13,spices,Urban,MMRP,75.95
MP,Madhya Pradesh,13,spices,Urban,MMRP,57.45
MH,Maharashtra,13,spices,Urban,MMRP,70.12
MN,Manipur,13,spices,Urban,MMRP,37.46
ML,Meghalaya,13,spices,Urban,MMRP,34.42
KA,Karnataka,14,"beverages, refreshments, etc.",Urban,MMRP,329.61
KL,Kerala,14,"beverages, refreshments, etc.",Urban,MMRP,293.75
MP,Madhya Pradesh,14,"beverages, refreshments, etc.",Urban,MMRP,160.64
MH,Maharashtra,14,"beverages, refreshments, etc.",Urban,MMRP,318.16
MN,Manipur,14,"beverages, refreshments, etc.",Urban,MMRP,97.23
ML,Meghalaya,14,"beverages, refreshments, etc.",Urban,MMRP,206.88
KA,Karnataka,15,food: total (1-14),Urban,MMRP,1212.63
KL,Kerala,15,food: total (1-14),Urban,MMRP,1260.23
MP,Madhya Pradesh,15,food: total (1-14),Urban,MMRP,868.42
MH,Maharashtra,15,food: total (1-14),Urban,MMRP,1325.36
MN,Manipur,15,food: total (1-14),Urban,MMRP,777.64
ML,Meghalaya,15,food: total (1-14),Urban,MMRP,1025.4
KA,Karnataka,16,"pan, tobacco & intoxicants",Urban,MMRP,48.68
KL,Kerala,16,"pan, tobacco & intoxicants",Urban,MMRP,63.68
MP,Madhya Pradesh,16,"pan, tobacco & intoxicants",Urban,MMRP,39.86
MH,Maharashtra,16,"pan, tobacco & intoxicants",Urban,MMRP,37.61
MN,Manipur,16,"pan, tobacco & intoxicants",Urban,MMRP,39.27
ML,Meghalaya,16,"pan, tobacco & intoxicants",Urban,MMRP,117.68
KA,Karnataka,17,fuel and light,Urban,MMRP,163.36
KL,Kerala,17,fuel and light,Urban,MMRP,158.64
MP,Madhya Pradesh,17,fuel and light,Urban,MMRP,170.1
MH,Maharashtra,17,fuel and light,Urban,MMRP,205.1
MN,Manipur,17,fuel and light,Urban,MMRP,147.36
